order_id,customer_id,product_id,quantity,unit_price,total_price,order_date,shipping_address,payment_method,status
69,776,476,14,970.08,5998.72,2020-05-20,952 Memorial Lane,PayPal,delivered
70,808,758,9,404.53,3780.24,2022-06-21,40 Emmet Plaza,credit card,processing
71,43,245,64,339.48,5582.65,2020-05-25,36417 Gateway Terrace,PayPal,processing
72,689,315,96,31.35,4725.26,2022-09-13,1 Colorado Circle,PayPal,delivered
73,576,937,50,254.24,8279.05,2021-01-17,257 Mallard Plaza,credit card,shipped
74,920,471,39,799.21,8154.4,2021-02-17,5 Evergreen Park,credit card,delivered
75,228,980,73,779.48,8230.66,2021-11-21,4372 2nd Avenue,credit card,pending
76,236,638,50,98.59,3947.84,2020-05-04,8748 Esch Crossing,Apple Pay,pending
77,925,856,83,155.15,5778.23,2021-04-21,4284 Jay Pass,Apple Pay,delivered
78,77,237,1,122.3,2567.33,2020-11-23,13 Dawn Hill,Apple Pay,pending
79,181,409,23,143.05,5761.23,2022-01-16,602 Bashford Plaza,Apple Pay,delivered
80,147,670,51,83.85,9146.38,2020-09-22,15 Memorial Circle,Apple Pay,processing
81,438,387,17,716.73,6254.99,2021-03-26,9714 Burning Wood Circle,credit card,processing
82,857,164,80,427.52,9129.3,2020-01-14,25 Evergreen Court,credit card,delivered
83,357,79,76,691.11,3221.82,2020-07-31,011 Oxford Plaza,credit card,delivered
84,305,290,57,248.04,5363.02,2021-09-27,20 Service Parkway,Apple Pay,delivered
85,74,65,82,32.04,4679.85,2022-10-08,13081 Village Green Park,PayPal,delivered
86,691,270,58,653.97,5.03,2021-01-23,5230 Butternut Center,Apple Pay,delivered
87,402,730,21,537.25,3954.49,2020-03-06,27 Transport Center,credit card,shipped
88,524,31,30,81.5,6400.44,2022-03-06,4 Vermont Park,PayPal,processing
89,874,913,12,902.3,2065.92,2022-01-02,079 Clove Court,PayPal,processing
90,888,78,83,912.97,1224.97,2022-11-06,8 Bartillon Lane,Apple Pay,delivered
91,370,547,82,435.82,1256.37,2022-06-19,29 Texas Plaza,credit card,processing
92,922,632,32,902.67,8.77,2021-07-31,2884 Brentwood Avenue,credit card,delivered
93,697,285,63,755.57,5499.18,2022-07-19,440 Fallview Trail,credit card,processing
94,238,74,82,498.62,463.54,2021-10-02,98840 Washington Place,Apple Pay,pending
95,886,93,84,359.83,9807.91,2022-09-07,25 Blaine Terrace,PayPal,processing
96,266,751,74,166.63,8381.64,2022-07-18,11048 Bay Park,PayPal,pending
97,271,92,44,436.31,3.96,2022-02-16,06759 Clemons Place,PayPal,processing
98,1,200,60,510.82,7626.64,2022-11-11,95 Blackbird Junction,credit card,pending
99,139,524,8,443.81,5963.5,2022-07-26,905 Mayfield Place,Apple Pay,processing
100,152,579,84,383.06,56.03,2022-03-01,6050 Portage Court,PayPal,delivered
101,96,882,87,339.97,8167.2,2022-01-20,0 Quincy Way,Apple Pay,shipped
102,983,420,78,794.22,8498.84,2020-02-03,79858 Everett Park,Apple Pay,processing
103,642,800,77,770.26,7558.77,2020-02-15,8351 Rockefeller Circle,credit card,pending
104,967,965,15,812.3,2756.21,2020-07-17,7898 Anhalt Lane,PayPal,shipped
105,512,417,82,747.76,4344.04,2021-08-07,13790 Bashford Center,Apple Pay,processing
106,313,905,4,764.25,5075.22,2022-10-09,1 Larry Terrace,Apple Pay,delivered
107,766,879,31,453.03,9571.59,2021-07-31,424 Pleasure Junction,Apple Pay,delivered
108,361,523,37,283.42,9324.54,2020-11-23,2345 Main Trail,credit card,pending
109,777,900,58,92.3,4615.12,2021-07-18,6910 Eagan Lane,Apple Pay,pending
110,397,416,69,971.57,3902.92,2020-02-06,5 Old Gate Avenue,PayPal,processing
111,400,232,22,592.4,459.59,2022-09-25,7 Bultman Center,PayPal,delivered
112,367,424,88,690.3,7824.38,2020-02-22,2876 Atwood Place,Apple Pay,processing
113,531,956,61,70.6,3224.29,2020-02-14,67798 Continental Trail,credit card,delivered
114,578,640,3,399.18,1666.77,2022-02-20,98 Gina Plaza,credit card,shipped
115,219,483,38,872.15,3279.25,2022-05-08,031 Forest Way,Apple Pay,pending
116,627,704,86,365.97,4838.33,2022-02-05,7 5th Court,PayPal,shipped
117,518,991,67,6.25,8417.1,2021-12-30,3968 Grim Plaza,credit card,pending
118,150,42,91,370.79,9409.93,2022-05-06,21 Cardinal Plaza,Apple Pay,delivered
119,500,46,72,134.61,6600.03,2022-01-01,98766 Shasta Parkway,Apple Pay,processing
120,913,29,84,682.34,5719.35,2021-03-11,458 Sunbrook Parkway,credit card,shipped
121,840,562,54,474.27,2324.49,2020-03-20,87 Oakridge Center,credit card,shipped
122,711,248,28,607.37,4838.84,2022-08-21,401 Mockingbird Alley,Apple Pay,shipped
123,445,68,91,510.06,1139.87,2020-12-06,1567 Arapahoe Avenue,PayPal,pending
124,2,981,2,342.74,4764.3,2022-05-25,1748 Merry Alley,Apple Pay,processing
125,653,251,46,623.76,3840.93,2020-05-25,9 Mccormick Point,credit card,processing
126,381,681,94,350.08,2410.27,2022-11-21,114 Crest Line Plaza,Apple Pay,shipped
127,796,22,33,725.06,7511.77,2020-12-18,08010 Hermina Road,credit card,processing
128,88,725,87,584.22,1699.81,2020-01-13,5 Surrey Court,PayPal,shipped
129,958,924,55,178.62,1522.58,2021-09-07,23 Morningstar Trail,credit card,shipped
130,935,926,71,564.36,5911.71,2021-03-16,96074 Garrison Junction,credit card,processing
131,956,70,100,57.92,2999.51,2020-07-08,4010 Welch Junction,Apple Pay,pending
132,376,67,100,696.26,8143.39,2022-03-19,34583 Nelson Hill,Apple Pay,processing
133,429,38,82,802.94,4137.31,2021-07-07,6 Magdeline Alley,credit card,delivered
134,335,479,65,16.52,9878.56,2022-02-10,4 Michigan Way,PayPal,processing
135,424,921,85,754.4,5022.79,2022-12-18,9832 Johnson Avenue,Apple Pay,processing
136,398,935,79,477.59,8917.75,2021-04-28,7512 Almo Way,credit card,shipped
137,491,493,43,539.1,9189.59,2022-05-11,41 Moulton Parkway,credit card,pending
138,741,804,36,554.8,4902.4,2021-11-18,40 Bashford Hill,credit card,pending
139,904,787,18,913.32,5590.4,2022-05-03,9503 Sauthoff Place,credit card,processing
140,843,400,1,272.38,221.71,2022-12-23,55 Mitchell Circle,credit card,processing
141,555,121,16,631.12,7898.83,2021-12-05,3271 Stoughton Parkway,credit card,delivered
142,386,243,31,890.13,7854.7,2021-01-16,843 Cardinal Crossing,PayPal,pending
143,811,733,52,634.72,7083.72,2020-12-02,97736 Hoffman Court,PayPal,delivered
144,693,60,85,739.6,2254.97,2020-03-21,943 Jay Plaza,PayPal,processing
145,821,508,57,657.69,9269.49,2022-04-29,01473 Armistice Street,Apple Pay,delivered
146,527,158,54,6.07,1907.6,2021-11-04,0 Washington Court,PayPal,shipped
147,885,597,65,317.82,5855.71,2020-09-12,59167 New Castle Place,Apple Pay,delivered
148,667,141,6,387.01,7451.44,2021-07-26,5 Cherokee Avenue,PayPal,pending
149,728,415,1,61.27,4255.44,2021-01-24,5 Portage Place,PayPal,delivered
150,479,274,10,769.64,3792.48,2021-05-05,4010 Loeprich Point,Apple Pay,shipped
151,566,969,66,258.49,6350.15,2020-03-21,2798 Iowa Center,PayPal,delivered
152,585,558,24,810.99,9142.46,2022-12-06,0 Beilfuss Avenue,Apple Pay,processing
153,49,708,8,694.27,8543.44,2020-04-04,038 Lindbergh Drive,credit card,pending
154,612,697,24,133.92,2704.82,2021-06-29,744 Delaware Parkway,Apple Pay,shipped
155,223,166,34,119.07,1628.09,2021-07-13,3 Bunting Circle,PayPal,pending
156,67,691,35,557.65,7607.08,2021-07-22,229 Esker Crossing,PayPal,pending
157,92,215,5,486.78,8732.48,2021-07-23,995 Crest Line Lane,credit card,delivered
158,898,654,7,740.55,2755.25,2020-09-20,50 Evergreen Place,credit card,delivered
159,328,738,43,735.16,8722.99,2020-10-02,66816 Twin Pines Center,credit card,shipped
160,353,474,18,854.24,2017.43,2021-08-25,26 Sachtjen Hill,credit card,shipped
161,46,419,84,910.33,598.04,2021-02-02,040 Melby Plaza,PayPal,pending
162,506,754,57,222.67,4982.46,2020-01-12,16169 Spaight Avenue,Apple Pay,processing
163,378,916,96,15.79,9126.13,2021-05-12,425 Ridgeway Terrace,PayPal,pending
164,125,386,37,31.73,9609.56,2022-04-16,9759 Forest Run Junction,PayPal,processing
165,496,55,14,361.89,218.93,2021-07-09,1 Meadow Valley Hill,Apple Pay,pending
166,133,799,2,210.66,5969.66,2021-09-03,60 Laurel Court,Apple Pay,pending
167,847,57,35,752.31,5568.7,2020-12-27,51 Nancy Trail,PayPal,delivered
168,645,624,49,784.05,8370.2,2020-12-24,2 Holy Cross Court,PayPal,delivered
169,644,679,77,327.67,341.57,2020-08-11,673 Everett Alley,PayPal,shipped
170,993,859,46,329.64,4751.06,2020-12-23,37957 Lindbergh Court,Apple Pay,processing
171,991,443,12,505.09,9241.98,2020-03-21,44 Toban Place,PayPal,pending
172,800,702,15,148.28,787.85,2021-09-18,26631 Schurz Terrace,Apple Pay,pending
173,778,815,5,422.14,9373.75,2021-09-13,669 Harper Hill,credit card,processing
174,735,732,64,191.2,3745.66,2021-04-02,96 Jenifer Hill,PayPal,delivered
175,324,576,26,117.59,4793.52,2022-03-10,47725 Shelley Avenue,PayPal,pending
176,862,736,52,770.39,7976.3,2021-11-21,01 Dixon Place,PayPal,shipped
177,163,563,20,739.38,4056.24,2020-08-30,38 Almo Trail,PayPal,processing
178,628,485,99,803.76,9105.59,2020-05-18,00854 Oxford Hill,PayPal,delivered
179,957,229,95,37.7,9337.12,2022-06-19,4445 Riverside Crossing,Apple Pay,processing
180,199,127,70,532.05,4161.88,2021-04-24,8 Leroy Trail,Apple Pay,pending
181,708,936,89,464.91,7392.93,2022-07-15,29475 Springs Drive,credit card,delivered
182,734,228,55,555.37,1837.57,2020-06-23,1859 Miller Place,Apple Pay,shipped
183,787,282,66,455.27,8208.02,2021-10-27,4 Glacier Hill Trail,credit card,pending
184,519,1,83,30.26,7384.33,2022-07-22,237 Springs Lane,Apple Pay,shipped
185,810,852,99,446.52,218.05,2020-06-05,3 Johnson Street,Apple Pay,shipped
186,453,835,98,522.35,7259.86,2021-01-31,83137 1st Parkway,PayPal,shipped
187,714,233,80,67.75,5082.01,2020-08-02,72775 Huxley Terrace,credit card,shipped
188,574,771,59,762.24,1729.83,2021-03-01,8332 Del Mar Place,PayPal,shipped
189,108,548,46,639.05,1512.98,2022-10-09,71 Atwood Street,credit card,processing
190,106,717,79,47.14,209.41,2022-01-28,14763 Butternut Drive,credit card,delivered
191,889,356,16,27.88,8303.86,2020-09-03,9 Buena Vista Crossing,Apple Pay,processing
192,901,601,31,247.14,2621.27,2020-05-27,9 School Point,credit card,delivered
193,475,373,84,287.69,8153.19,2022-04-04,49034 Lotheville Drive,PayPal,delivered
194,616,473,65,426.22,9008.27,2022-07-01,6 Bayside Circle,PayPal,pending
195,932,353,59,904.6,8441.36,2020-07-13,8964 Riverside Circle,credit card,delivered
196,444,561,62,547.19,4260.09,2020-01-04,2 Fisk Avenue,Apple Pay,shipped
197,340,421,38,300.42,9124.68,2022-02-11,4 Stang Trail,Apple Pay,shipped
198,458,375,68,591.72,1017.6,2021-12-14,80 Spaight Way,credit card,processing
199,116,291,79,361.91,2250.28,2021-11-17,01534 Drewry Circle,PayPal,delivered
200,985,710,85,372.21,2255.96,2020-03-27,5 Blackbird Way,Apple Pay,pending
201,526,34,2,820.4,143.29,2022-04-17,601 Carey Point,PayPal,delivered
202,637,752,71,582.73,2743.57,2021-09-03,99993 Darwin Plaza,Apple Pay,delivered
203,373,559,6,270.63,4398.67,2020-02-05,2 Reindahl Road,credit card,processing
204,812,402,53,944.18,8778.46,2021-07-02,2 Delladonna Road,PayPal,shipped
205,476,552,72,168.79,9191.03,2020-03-02,0553 Hoard Place,Apple Pay,pending
206,165,797,24,834.06,7750.59,2020-04-15,97 Annamark Trail,PayPal,shipped
207,517,369,100,275.18,6069.7,2020-06-24,634 Dakota Point,PayPal,pending
208,298,393,48,560.18,4251.37,2022-08-24,02 La Follette Crossing,Apple Pay,shipped
209,489,845,29,161.25,5884.35,2021-05-19,7 Lindbergh Plaza,credit card,processing
210,231,7,25,268.47,5894.68,2022-12-02,54130 Stephen Alley,Apple Pay,processing
211,621,783,10,788.54,8957.41,2020-03-26,76262 Longview Junction,PayPal,shipped
212,468,504,9,184.66,4441.5,2021-07-12,398 Dexter Street,Apple Pay,delivered
213,480,907,65,49.96,5801.89,2022-11-25,3 Steensland Park,Apple Pay,processing
214,206,571,94,994.16,9631.82,2020-09-22,1 Center Avenue,credit card,shipped
215,309,663,53,640.05,6667.78,2020-08-24,0500 Moulton Place,PayPal,shipped
216,893,481,66,940.31,8366.01,2021-01-25,6 Springview Way,credit card,delivered
217,568,711,79,393.35,2838.83,2020-07-28,64806 Marquette Trail,PayPal,delivered
218,712,271,38,960.03,2280.5,2021-11-30,031 Gateway Court,PayPal,pending
219,685,949,8,168.43,692.19,2022-04-20,10561 Corben Point,credit card,processing
220,605,633,3,216.46,7550.28,2022-03-07,1 American Center,PayPal,pending
221,318,374,35,843.03,3872.76,2022-07-16,69 Maryland Plaza,credit card,delivered
222,762,242,83,379.15,3563.09,2020-02-06,2875 Marcy Trail,PayPal,pending
223,858,71,23,190.63,5099.88,2022-05-27,0989 Pond Hill,Apple Pay,processing
224,775,942,28,791.36,8599.02,2022-06-01,5 Hovde Center,PayPal,pending
225,65,11,70,468.43,4237.34,2020-09-12,6232 Del Sol Avenue,Apple Pay,shipped
226,949,247,70,959.84,9210.25,2021-02-12,381 Kings Trail,PayPal,pending
227,968,734,76,214.96,9300.66,2020-02-29,41 Lakeland Court,Apple Pay,delivered
228,194,540,27,894.83,1998.27,2020-03-26,18012 Merchant Way,PayPal,shipped
229,562,273,74,434.22,4527.89,2020-12-04,4428 Golf Court,PayPal,shipped
230,877,267,40,142.55,9981.65,2021-10-19,86 Springs Alley,credit card,delivered
231,232,565,75,589.45,4845.33,2022-01-25,84 Bartelt Street,credit card,processing
232,304,324,18,714.05,2525.26,2022-04-01,9259 Melvin Road,Apple Pay,shipped
233,702,177,77,966.94,115.61,2022-06-27,66418 Sundown Lane,credit card,shipped
234,739,340,25,802.33,1785.0,2022-09-22,96 Kropf Way,credit card,processing
235,825,317,89,416.45,9518.93,2021-08-19,5938 Sommers Court,credit card,pending
236,809,958,99,900.13,4556.53,2022-11-08,08 Mosinee Junction,Apple Pay,shipped
237,929,330,93,144.56,1434.46,2020-04-30,809 Holy Cross Terrace,Apple Pay,shipped
238,101,788,29,732.73,6899.09,2021-11-14,562 Fairview Trail,Apple Pay,delivered
239,548,986,64,984.8,5174.79,2022-01-27,3050 Magdeline Road,PayPal,processing
240,635,951,8,954.57,6180.79,2020-04-29,587 Elka Parkway,PayPal,delivered
241,694,685,12,902.25,9393.92,2020-04-25,63894 Acker Junction,PayPal,shipped
242,176,791,56,744.05,5871.65,2020-04-27,10551 Commercial Park,credit card,delivered
243,946,514,60,754.37,8568.19,2021-04-09,4 Amoth Avenue,credit card,pending
244,347,741,49,195.38,8272.2,2020-05-11,9 Spenser Hill,PayPal,delivered
245,391,646,94,23.9,6718.7,2020-01-23,07966 Iowa Hill,PayPal,processing
246,727,136,70,914.25,7000.08,2020-03-25,88267 Hudson Plaza,Apple Pay,processing
247,544,112,55,517.82,4354.53,2022-05-20,0 Arapahoe Place,PayPal,shipped
248,368,24,75,971.46,8791.57,2020-02-10,5914 Eastlawn Avenue,PayPal,delivered
249,21,418,34,462.7,4439.97,2021-03-21,31181 Bultman Plaza,PayPal,processing
250,282,904,14,952.5,1168.04,2021-08-14,249 Kim Way,credit card,pending
251,280,159,27,92.17,8595.8,2020-01-07,003 Graedel Parkway,Apple Pay,shipped
252,682,765,43,739.62,6022.94,2021-08-22,6 Northridge Terrace,credit card,shipped
253,205,462,11,391.21,6054.54,2021-05-15,27455 Banding Court,Apple Pay,processing
254,71,953,78,802.84,4726.28,2021-07-30,3 Cambridge Drive,credit card,shipped
255,718,955,72,853.51,7045.61,2020-09-06,1978 Corscot Pass,credit card,shipped
256,561,766,52,804.01,5876.22,2020-06-14,27 Boyd Junction,credit card,shipped
257,502,44,54,195.89,1482.6,2022-02-20,51556 David Way,PayPal,delivered
258,639,543,58,450.92,937.39,2022-06-24,0136 Dunning Parkway,credit card,processing
259,213,501,69,673.67,377.15,2021-07-10,576 Bashford Lane,credit card,pending
260,559,331,72,971.68,2518.73,2021-08-06,9636 Commercial Pass,PayPal,delivered
261,819,848,70,828.42,516.23,2022-08-29,5 Maryland Point,Apple Pay,delivered
262,749,131,63,68.46,1771.32,2021-10-04,84447 Oriole Pass,credit card,processing
263,696,538,80,230.52,1715.55,2021-06-08,61460 Mandrake Parkway,PayPal,pending
264,394,891,29,467.3,5261.94,2022-02-06,783 Dawn Avenue,Apple Pay,processing
265,281,649,36,621.1,2343.52,2020-06-23,574 Bayside Way,Apple Pay,shipped
266,78,488,33,700.88,5679.8,2021-11-08,6265 Warbler Circle,Apple Pay,delivered
267,233,329,64,499.45,6465.96,2022-02-05,9760 Butterfield Circle,credit card,pending
268,45,706,25,498.12,8609.86,2022-11-30,456 Coolidge Pass,PayPal,processing
269,155,275,4,666.81,1745.14,2022-02-06,6784 Myrtle Hill,Apple Pay,pending
270,850,796,44,479.98,2342.91,2020-01-07,803 Knutson Junction,PayPal,pending
271,9,599,96,395.48,483.55,2021-11-23,8 Manitowish Hill,PayPal,processing
272,114,151,67,125.44,2469.85,2021-05-11,00721 Bayside Pass,PayPal,processing
273,146,821,50,742.75,5545.78,2022-04-02,725 Lawn Lane,Apple Pay,processing
274,109,718,89,9.92,2432.81,2022-10-31,46 Graedel Pass,PayPal,shipped
275,927,544,47,524.91,6460.8,2021-07-10,0 Center Circle,credit card,delivered
276,791,310,65,634.41,3076.59,2022-04-13,470 Farwell Hill,Apple Pay,pending
277,763,623,18,917.34,781.2,2021-06-03,741 Northridge Road,credit card,delivered
278,188,399,48,977.7,8023.16,2021-10-27,4461 Parkside Lane,PayPal,shipped
279,595,837,65,240.38,7642.42,2022-03-05,886 Mariners Cove Park,credit card,pending
280,822,240,80,603.5,4698.83,2021-12-30,79 Briar Crest Parkway,credit card,delivered
281,550,648,34,388.86,8113.48,2020-05-09,8597 Sundown Crossing,credit card,pending
282,372,592,32,648.27,6065.22,2020-10-19,70928 Derek Terrace,PayPal,shipped
283,405,840,77,605.77,9168.6,2021-09-19,3112 Northwestern Parkway,PayPal,processing
284,415,875,62,789.6,7166.36,2021-09-20,6 Grayhawk Park,PayPal,delivered
285,51,191,43,745.39,1736.45,2022-05-03,7 Ohio Circle,Apple Pay,pending
286,327,220,4,546.12,8178.82,2022-11-11,4 Waywood Trail,Apple Pay,pending
287,837,194,93,505.2,710.35,2022-10-25,5 Coolidge Point,PayPal,shipped
288,884,129,54,288.7,8817.57,2022-02-21,362 Bunting Point,Apple Pay,pending
289,307,350,6,740.82,4565.0,2022-09-15,98 Fairview Street,Apple Pay,processing
290,337,774,37,28.69,959.51,2022-12-09,17 Oakridge Street,PayPal,delivered
291,226,739,26,284.02,1263.02,2022-09-24,836 Kennedy Crossing,Apple Pay,pending
292,486,77,82,826.45,3766.82,2021-06-25,6291 Carey Way,credit card,processing
293,767,438,6,504.69,9166.95,2022-12-15,88 Elmside Court,credit card,processing
294,860,162,30,181.24,1651.38,2020-09-18,50285 Shoshone Junction,credit card,shipped
295,545,912,28,661.06,4176.94,2021-05-20,4 Melvin Lane,PayPal,pending
296,783,830,86,304.77,2815.58,2020-11-06,57 Texas Pass,Apple Pay,shipped
297,270,312,100,204.45,5557.65,2021-08-02,02679 Old Shore Junction,credit card,processing
298,824,715,12,715.3,5177.44,2021-04-30,7 Arkansas Terrace,credit card,pending
299,230,208,89,262.4,7173.22,2022-10-17,4048 Gateway Avenue,Apple Pay,shipped
300,755,818,74,589.82,6255.46,2021-04-27,6 Namekagon Circle,Apple Pay,pending
301,123,287,46,929.43,7369.78,2020-10-04,77 Moose Court,Apple Pay,delivered
302,401,961,31,767.34,1911.55,2021-07-11,90 Glacier Hill Hill,Apple Pay,shipped
303,60,625,63,275.87,5290.19,2022-06-18,4163 Knutson Junction,credit card,processing
304,371,680,24,470.03,8810.76,2020-11-10,5 Holy Cross Point,Apple Pay,processing
305,671,964,18,372.02,1227.39,2021-10-05,8418 Grover Road,credit card,delivered
306,947,61,3,905.77,443.83,2022-03-04,201 Veith Alley,PayPal,pending
307,666,325,14,461.27,5597.25,2021-02-25,31152 Elmside Point,PayPal,delivered
308,638,909,71,345.88,6867.89,2021-02-26,192 Tennessee Plaza,credit card,pending
309,93,940,45,301.15,5423.38,2020-09-13,12 Manitowish Point,Apple Pay,shipped
310,769,843,8,238.37,8585.52,2021-04-04,2 3rd Alley,PayPal,shipped
311,965,148,92,532.1,2254.12,2021-03-25,47 Briar Crest Junction,Apple Pay,pending
312,36,370,71,221.86,5969.78,2022-05-17,0503 Washington Pass,credit card,processing
313,841,637,79,592.56,1570.02,2020-08-11,386 Almo Plaza,Apple Pay,shipped
314,122,449,11,884.94,7283.16,2022-03-05,121 Raven Trail,credit card,pending
315,168,810,5,90.24,9565.11,2020-09-04,634 Hallows Junction,credit card,shipped
316,173,622,7,350.97,4775.6,2021-08-20,82562 Carey Street,credit card,delivered
317,356,518,56,865.63,2818.5,2020-01-17,43197 Independence Place,Apple Pay,pending
318,731,249,46,266.93,625.27,2022-01-15,66475 Pennsylvania Crossing,credit card,pending
319,701,517,10,240.49,4369.63,2020-02-03,35321 Warner Parkway,Apple Pay,shipped
320,750,497,32,831.65,176.39,2021-11-24,94 Ohio Place,credit card,pending
321,799,874,72,600.52,3955.33,2021-09-15,02 Oak Road,Apple Pay,processing
322,488,297,53,338.69,8110.11,2020-06-23,8 Northwestern Way,Apple Pay,shipped
